// lang CZE
// ver 0.891
// for game ver 1.0b
// author rcx
// in progress - editor
// Codes can't start with : §, -, 0-9

//===System Errors
AssertCheck	---
DescMortification	Sníží po dobu {2} příchozí poškození o {5}. Lze použít i při ochromení.\n\nPozor - pauzu mezi použitími sdílí s dovednostmi [>AbOverMyDeadBody] a [>AbSavior].

AbHolyDiligence	Pilný jako včelka
DescHolyDiligence	Zvyšuje hodnotu vlastnosti [>Haste] o {5}{7}%</color> po dobu {2}.

AbSpiritualEffervescence	Vůle boží
DescSpiritualEffervescence	Vstřebá až {5} poškození. Trvá {2}.
ChTipSpiritualEffervescence	[>ChTipRighteousShield]

AbArchangelWatch	Pod křídlem božím
DescArchangelWatch	Snižuje po dobu {2} poškození o {5}.

AbBlessedSpirit	Požehnání
DescBlessedSpirit	Uzdraví parťáka o {9} HP při jeho dalším zranění. Když tato situace nastane, na jednoho z členů bandy je aplikována dovednost [>AbBlessedSpirit].\nPo {2} se přesune na dalšího člena, změna proběhne až 5x.\n\nDovednost může být aktivní pouze 1x.

//=== Healer - Necromancer
AbSealOfNecromancy	Znak nekromancie
DescSealOfNecromancy	Označený parťák se stane cílem léčení některou z mých dovedností. Trvá {2} a na konci dodatečně uzdraví o {3} HP.

AbQuietSpirit	Přivolání Ducha ticha // Call of the Quiet Spirit
DescQuietSpirit	Uzdraví celou bandu o {0} HP.

NoSealCarrier	\n\nPokud nikdo nemá [>AbSealOfNecromancy], pak je léčení aplikováno na Tebe.

AbSoulSucking	Duševní upír
DescSoulSucking Způsobí nepříteli poškození {0} HP a uzdraví toho, kdo má [>AbSealOfNecromancy] o {7}trojnásobek</color> způsobeného poškození.[>NoSealCarrier]

AbEatMyFlesh	Masochista
DescEatMyFlesh	Uzdraví parťáka o {0} HP, ale Tebe poškodí {8}polovinou</color> získaného zdraví.

AbSoulEater	Požírač duší
DescSoulEater	Způsobí nepříteli poškození {1} HP během {2} a Tebe uzdraví o {7}trojnásobek</color> způsobeného poškození.

AbRaiseFromTheDead	Vstaň z mrtvých
DescRaiseFromTheDead	Ochraňuje parťáka po dobu {2}. Pokud v té době parťákovi poklesne zdraví na {8}0</color> bude uzdraven o {5} HP plus až {7}sedminásobný</color> bonus - čím déle bylo účinku dovednosti nevyužito, tím vyšší bonus.

AbArmyOfDarkness	Armáda temnoty
DescArmyOfDarkness	Uzdraví toho, kdo má [>AbSealOfNecromancy] o {5} HP a zbytek bandy o {7}poloviční</color> množství.[>NoSealCarrier]

AbLastIncantation	Poslední slova
DescLastIncantation	Uzdraví parťáka o {1} HP během {2}. Navíc uzdraví toho, kdo má [>AbSealOfNecromancy] o {5} HP.[>NoSealCarrier]

AbTouchOfDeath	Dotyk smrti
DescTouchOfDeath	Snižuje hodnotu nepřítelovy vlastnosti [>Haste] o {5}{8}%</color> po dobu {2}.

AbOverMyDeadBody	Jen přes mou mrtvolu
DescOverMyDeadBody	Vyvolá ducha, který Tě po dobu {2} ochraňuje - absorbuje {7}60%</color> příchozího poškození - a neustále Tě popichuje. Jakmile duch zmizí jsou všechny Tvé hrozby sníženy o {7}50%</color>.\n\nPozor - pauzu mezi použitími sdílí s dovednostmi [>AbMortification] a [>AbSavior].
AbOverMyDeadBodyShield	[>AbOverMyDeadBody]
DescOverMyDeadBodyShield	[>DescOverMyDeadBody]

AbFromDeathComesLife	Smrt v život se obrátí
DescFromDeathComesLife	Uzdraví parťáka o {1} HP během {2}.

AbShadowArmy	Temná armáda
DescShadowArmy	Snižuje po dobu {2} poškození o {5}.

AbLastBreath	Poslední dech
DescLastBreath	Zvyšuje po dobu {2} hodnotu vlastnosti [>Haste] o {5}{7}%</color>.

//=== Warrior - Protector
AbRend		Zářez // Rend
DescRend	Udělá nepříteli hlubokou, krvácející ránu a způsobí poškození {0} HP, Krvácení způsobuje dodatečné poškození {1} HP během {2}. Děsivé - zvyšuje hrozbu.

AbThunderClap	Hromobití
DescThunderClap	Vytvoří vlnu energie, která poděsí všechny nepřátele a způsobí jim poškození {0} HP.

AbKick		Kopanec
DescKick	Nečekaně přeruší přípravu nepřítele. Neskutečně pobuřující - zvyšuje hrozbu.

AbTaunt		Popíchnutí
DescTaunt	Zvýší Tvou hrozbu tak, aby byla nejvyšší, a tím přiláká nepřátele.

AbDevastate	Znič
DescDevastate	Způsobí nepříteli poškození {0} HP, plus Sníží nepříteli hodnotu vlastnosti [>ArmorRating] o {5} po dobu {2}. Může být opakováno až {4} krát po sobě.

AbLastStand	Poslední zůstává
DescLastStand	Dočasně zvyšuje zdraví HP o {5} po dobu {2}. Po skončení efektu je maximální zdraví vráceno na původní hodnotu.

AbSpellDeflect	Magický štít // Spell Deflect
DescSpellDeflect	Pokud v nejbližších {2} přijde útok z dálky, ať už magický či nikoli, odrazí ho.

AbRageYell	Zařvání
DescRageYell	Popíchne všechny nepřátele.

AbEnrage	Adrenalin
DescEnrage	Zvyšuje všechno způsobené poškození o {5} a snižuje příchozí poškození o {7}5%</color> po dobu {2}.

AbPulseWave	Elektřina // Pulse Wave
DescPulseWave	Vyšle vlnu energiie, která způsobí poškození {0} HP a omráčí všechny nepřátele před Tebou na {2}. Velmi výhružné.

AbCounter	Protiútok
DescCounter	Zvyšuje [>Haste] o {5}{7}%</color> po dobu {2} po každém úspěšně odraženém útoku. Může být opakováno až {4} krát po sobě.

AbShieldWall	Zeď štítů
DescShieldWall	Snižuje veškeré příchozí poškození o {5} po dobu {2}.

//=== Warrior - Man At Arms
AbSwipe		Výpad
DescSwipe	Kruhový útok, který způsobí nepřátelům před Tebou poškození {0} HP.

AbHardStrike	Tvrdý úder
DescHardStrike	Mocný útok způsobující poškození {0} HP.

AbBleeding	Krvácení
DescBleeding	Nepříteli způsobuje krvácení poškození {1} HP během {2}.

AbDeadlyAssault	Smrtící útok
DescDeadlyAssault	Precizní útok, založený víc na síle útoku, než na zbrani - výsledkem je poškození {0}.

AbWarCry	Válečná píseň
DescWarCry	Povzbudí všechny členy bandy a zvyší jim hodnotu vlastnosti [>AP] o {5} po dobu {2}.
TickWarCry	Zvyšuje hodnotu vlastnosti [>AP] o {5} po dobu {2}.

AbDoomDrum	Bubny zmaru
DescDoomDrum	Sníží nepříteli hodnotu vlastnosti [>AP] o {5}.

AbOverwhelmingBlow	Nekutečná rána
DescOverwhelmingBlow	Úder způsobující poškození {0} HP a zároveň snižující nepříteli hodnotu obranných vlastností o {5} po dobu {2}.

AbMeatPounder	Masomlejn
DescMeatPounder	Po [>AbSwipe] se provede [>AbHardStrike], který bude 1 nepřítele drtit po dobu {2}.

AbLiveByTheSword	Cesta meče
DescLiveByTheSword	Zvyšuje šanci na [>Parry] o {5}{7}%</color> a snižuje příchozí poškození o {9} po dobu {2}.

AbLuckyStrike	Šťasný zásah
DescLuckyStrike	Zvyšuje šanci na KZ o {5}{7}%</color> po dobu {2}.

AbBerserk	Berserk
DescBerserk	Zvyšuje nejen poškození nepříteli o {5}, ale i příchozí poškození o {9} po dobu {2}.

//=== Warrior - Paladin
AbDivinePunishment	Boží trest
DescDivinePunishment	Úder boží, který způsobí nepříteli poškození {0} HP.

AbHammerOfJustice	Kladivo spravedlnosti
DescHammerOfJustice	Požehná Tvou zbraň, která tak získá poškození {0} HP.

AbCrusaderAssault	Útok Křižáků
DescCrusaderAssault	Způsobí nepříteli poškození {0} HP a okolním nepřátelům poškození {6} HP.

AbAngelProtection	Štít andělů
DescAngelProtection	Obklopí vybraného spolubojovníka bublinou, která pohltí {5} poškození po dobu {2}, ale také spolubojovníka dočasně znehybní, díky čemuž o něj nepřátelé ztratí zájem.

AbHolyBarrier	Svatý štít
DescHolyBarrier	Vytvoří bariéru, která bude snižovat příchozí poškození magií o {5}% po dobu {2}.

AbHolierBarrier	Svatá zeď
DescHolierBarrier	[>DescHolyBarrier]

AbCelestialBlindness	Posvátná slepota
DescCelestialBlindness	Okamžitě Sníží Tvou hrozbu nepřátelům o {5}.

AbSaintlySacrifice	Svatá oběť
DescSaintlySacrifice	Přesměruje na Paladina {5} poškození způsobeného spolubojovníkovi po dobu {2}.

AbSealOfContrition	Znak kajícnosti
DescSealOfContrition	Způsobí nepříteli poškození {1} HP během {2}.

AbSealOfRepentance	Znak pokání
DescSealOfRepentance	Šance na KZ nepřítele se zvyšují o {5}{8}%</color>.

AbSpiritualShock	Duchovní šok
DescSpiritualShock	Ochromí nepřítele po dobu {2}.

AbSeraphicIntervention	Božská pomoc
DescSeraphicIntervention	Oživí padlého spolubojivníka {0} HP a bude ho chránit proti poškození po dobu {2}.

AbNoSacrificeInVain	Odměna boží
DescNoSacrificeInVain	Uzdraví {3} HP, ale nutno vyčkat {2}.

//=== Rogue - Assassin
ComboPoint	útočný bod
ComboPoints	útočné body
AddComboPoint	\n\nPřidává 1 útočný bod
FinishCombo	Dovednost vhodná jako vrchol útoku - spotřebuje všechny útočné body.\n\n

AbDreadfulJab	Kraťas // Dreadful Jab
DescDreadfulJab Rafinovaný útok, který způsobí nepříteli poškození {0} HP.[>AddComboPoint].

AbSwiftKnife	Mrštná dýka 
DescSwiftKnife	[>FinishCombo]Vrhne magickou dýku, která způsobí poškození {0} HP. Poškození se zvyšuje o {8}20%</color> za každý [>ComboPoint].

AbPoison	Smrtící jed
DescPoison	Způsobuje poškození {1} HP trvající {2}.

AbExecute	Poprava
DescExecute	[>FinishCombo]Způsobí nepříteli poškození {0} HP. Poškození se zvyšuje o {8}20%</color> za každý [>ComboPoint].

AbMug		Vobíračka
DescMug		Útok oběma rukama. Zbraň v pravačče poškozuje nepřítele za {0} HP, zatímco levačka útočí na další nepřátele.\n\nPřidává 2 [>ComboPoints].

AbKillingSpree	Zabijačka
DescKillingSpree	[>FinishCombo]Zvyšuje spěch o {5}% po dobu {2}. Každý [>ComboPoint] zvyšuje délku efektu o {7}100%</color>.

AbThousandKnives	Tisíc nožů
DescThousandKnives	[>FinishCombo]Vzduch okolo Tebe se zaplní dýkami, které způsobí každému ze zasaženému poškození {0} HP. Každý [>ComboPoint] zvyšuje poškození o {8}20%</color>.

AbHiredHitman	Nájemný zabiják
DescHiredHitman	Někdo z Tvé bandy na sebe vezeme {7}65%</color> tvých hrozeb na <color=white>12s</color>.

AbHitman	[>AbHiredHitman]
DescHitman	Přenese na {5} všechny Tvé hrozby po dobu {2}.

AbHiringHitman	[>AbHiredHitman]
DescHiringHitman	Pohltí část hrozeb [>SpecAssassin] po dobu {2}.

AbFadeInShadows	Jako stín
DescFadeInShadows	Zvýší Tvou šanci na [>Dodge] o {5}% po dobu {2}.

AbNowOrNever	Teď a nebo nikdy
DescNowOrNever	Přidá Ti 5 útočných bodů. // napevno ComboPoints

//=== Rogue - Duelist
AbPommel	Pecka
DescPommel	[>DescKick][>AddComboPoint].

AbSweepingBlow	Úklid
DescSweepingBlow	Způsobí vybranému nepříteli poškození {0} HP a všem okolním nepřátelům poloviční. Navíc aktivuje dovednost [>AbDeepCut], která způsobé to samé poškození během <color=white>12s</color>. Velmi výhružné.[>AddComboPoint].

AbDeepCut	Hluboká rána
DescDeepCut	Způsobí nepříteli poškození {1} HP během {2}. Velmi výhružné.

AbInvitation	Pozvánka
DescInvitation	Zvýší Tvou hrozbu tak, aby byla nejvyšší, a tím přiláká nepřátele.[>AddComboPoint].

AbSleightOfHand	Dotyk // Sleight Of Hand
DescSleightOfHand	Snižuje sílu útoku nepřítele o {5}.

AbRiposte	Odveta
DescRiposte	Zvyšuje fyzické poškození o {5} po dobu {2}.

AbLunge		Výpad
DescLunge	[>FinishCombo]Způsobí nepříteli poškození {0} HP. Každý [>ComboPoint] zvyšuje poškození o {8}30%</color>. Děsivé - zvyšuje hrozbu.

AbBladeDancer	Šavlový tanec // Blade Dancer
DescBladeDancer	Zvyšuje šanci na [>Dodge] o {5}{7}%</color> a snižuje veškeré příchozí poškození o {9} po dobu {2}.

AbDualStrike	Obouručka
DescDualStrike	Útok oběma rukama. Zbraň v pravačče poškozuje nepřítele za {0} HP, zatímco levačka útočí na další nepřátele, přednostně na ty, kteří na Tebe neútočí. Děsivé - zvyšuje hrozbu.\nPokud máš v druhé ruce štít, pak druhá část útoku neproběhne.\n\nPřidává 2 [>ComboPoints].

AbRubSaltWound	Sůl do rány // Rub Salt in the Wound
DescRubSaltWound	[>FinishCombo]Protáhne trvání dovednosti [>AbDeepCut] o {8}1 tik</color> za každý [>ComboPoint].

AbPiercingStrike	Probodnutí
DescPiercingStrike	[>FinishCombo]Způsobí nepříteli poškození {0} HP. Nehledí na hodnotu vlastnosti [>ArmorRating]. Děsivé - zvyšuje hrozbu.\nKaždý [>ComboPoint] zvyšuje poškození o {8}30%</color>.

AbRecovery	Krvavé procitnutí // Recovery in Blood
DescRecovery	[>FinishCombo]Přidává {1} HP během {2}. Každý [>ComboPoint] zvyšuje délku léčení o {7}100%</color>.

AbSlipperyFish	Jako úhoř
DescSlipperyFish	Zvyšuje šanci na [>Dodge] o {5}{7}%</color>.

//=== Rogue - Ranger
AbInstinctShot	Poslepu
DescInstinctShot	Způsobí nepříteli poškození {0} HP.[>AddComboPoint].

AbSniperShot	Odstřelovač[:|ka]
DescSniperShot	[>FinishCombo]Způsobí nepříteli poškození {0} HP. Poškození se zvyšuje o {8}15%</color> za každý [>ComboPoint].

AbDoubleShot	Dvojče
DescDoubleShot	Způsobí nepříteli poškození {0} HP. Vyšle druhý projektil, který způsobí poškození ve výši {8}75%</color> původního.\n\nPřidává 2 [>ComboPoints].

AbHemorrhage	Puštění žilou
DescHemorrhage	Způsobí nepříteli poškození {1} HP během {2}.

AbMaimThenKill	Zmržačit a ukončit
DescMaimThenKill	Zvyšuje poškození způsobené dovedností [>AbSniperShot] o {5} po dobu {2}.

AbVolleyOfArrows	Salva
DescVolleyOfArrows	[>FinishCombo]Vyšle smršť šípů na nepřátele, způsobí poškození {1} HP. Poškození se zvyšuje o {8}20%</color> za každý [>ComboPoint].

AbPlayingPossum	Mrtvej brouk
DescPlayingPossum	Předstíráš smrt, díky čemuž se Tvé hrozby vynulují, vedlejším účinkem je ochromení po dobu {2}.

AbSideTrack	Pomocník
DescSideTrack	Někdo z Tvé bandy na sebe vezeme {7}40%</color> tvých hrozeb na <color=white>9s</color>.

AbSideTracked	[>AbSideTrack]
DescSideTracked	[>DescHitman]

AbSideTracking	[>AbSideTrack]
DescSideTracking	Pohltí část hrozeb [>SpecRanger] po dobu {2}.

AbNightOfTheHunter	Lovcova noc	// Movie Title
DescNightOfTheHunter	Zvyšuje [>Haste] o {5}{7}%</color> po dobu {2}.

AbRumble	Rachot
DescRumble	Sníží veškeré příchozí poškození o {5} po dobu {2}. Dokud tento efekt trvá, nemůžeš dělat vůbec nic.

AbWarningShot	Varování
DescWarningShot	[>DescInvitation]

AbHunterTracking	Sledovačka
DescHunterTracking	Zanecháváš za sebou kouřovou stopu po dobu {2}. // X? no idea what it is good for

//=== Field Abilities ===================================================
AbPoisonField	Jed
DescPoisonField	Způsobí otravu a poškození {0} HP plus {1} HP během {2}.
AbFireField	Oheň
DescFireField	Způsobí popáleniny a poškození {0} HP plus {1} HP během {2}.
AbShadowProtField	Ochrana proti temné magii
DescShadowProtField	Chrání proti poškození na bázi temné magie - {5}{7}%</color>.
AbNatureProtField	Ochrana proti přírodní magii
DescNatureProtField	Chrání proti poškození na bázi přírodní magie - {5}{7}%</color>.
AbLight		Světlo
DescLight	Obklopí bandu světlem po dobu {2}.
AbHighDamage	Kletba temných elfů
DescHighDamage	Veškeré příchozí poškození bude po dobu {2} zvýšeno o {5}.
AbBigBossLevel	Ponížení // Soul Crush
DescBigBossLevel	Snižuje Tvoji úroveň o 5.
AbHealField	Načasované uzdravení
DescHealField   Uzdraví {3} HP s odstupem {2}.
AbHighDamager	Síla Dědy // Inner Force
DescHighDamager	Všechna poškození jsou po dobu {2} zvýšena o {5}.
AbDarkDecay	Temná hniloba
DescDarkDecay	Vyrážka na kůži ti bude způsobovat poškození {1} HP během {2}. Může být opakováno až {4} krát po sobě.

//=== Mob Abilities ===================================================
AbCharge	Výboj
AbMobFirebolt	Ohnivý šíp
AbMobBow	Luk
AbMobSwing	Seknutí // Swing
AbMobPunch	Rána
AbMobRip	Škrábanec // Rip
AbMobWand	Hůlka
AbMobWandFast	[>AbMobWand]
AbMobHeal	Uzdravení se
AbMobSmash	Placka // Smash
AbMobTailJab	Rána ocasem // Tail Jab
AbMobPoisonSpit	Jedovatá slina
AbMobBlackSpit	Temná slina
AbMobBite	Kousnutí
AbMobImpale	Nabodnutí
AbMobBackStab	Podpásovka
AbMobExecute	Poprava
AbMobMaim	Zmrzačení
DescMobMaim	Zmrzačí nepřítele na {2} a sníží [>Haste] o {5}%.
AbMobDoubleSwing	Dvojité seknutí
AbMobKick	Kopanec
AbMobShieldBash	Útok štítem
AbMobFrostbolt	Ledový šíp
DescMobFrostbolt	Vyšle ledový šíp, který snižuje stražcův [>Haste] o {5}% po dobu {2}.
AbMobSwipe	Otočka
DescMobSwipe	Zasáhne všechny nepřátele před sebou.
AbMobHellFire	Pekelný oheň
AbMobDoubleSmash	Dvojitá placka
AbMobFastHeal	Rychlé uzdravení
AbMobThrust	Výpad
DescMobThrust	Rychlý, kontrolovaný útok, který vyruší zasaženého nepřítele (dotyčn[:ý|á] přeruší právě prováděnou akci).
AbMobStomp	Dupnutí
DescMobStomp	Vyruší všechny nepřátele (všichni nepřátelé přeruší právě prováděnou akci).
AbPredFireBreath	Ohnivý dech
AbPredFireFlood	Ohnivá záplava
AbMobAcidFlood	Záplava kyseliny
AbMobAcidSpray	Kyselý déšť
AbMobRottenArmor	Koroze
DescMobRottenArmor	Snižuje obranu o {5}, po dobu {2}, může být opakováno až {4} krát po sobě.
AbMobChew	Sežvýkání
AbTwinSmash	[>AbMobSmash]
AbMobPierce	Probodnutí
AbMobSwipeMaim	Hromadné zmrzačení
DescMobSwipeMaim	Zmrzačí všechny před sebou po dobu {2} a sníží jim [>Haste] o {5}.
AbMobFireball	Ohnivá koule
AbMobWarCry	Válečný ryk
DescMobWarCry	Zvyšuje sílu útoku spojenců o {5} po dobu {2}.
AbMobFire	Ručnice
AbRodentCurse	Krysí prokletí
DescRodentCurse	Způsobí nepříteli poškození {1} HP během {2}, může být opakováno až {4} krát po sobě. Poškození se zvyšuje exponenciálně.
AbMobSmashFrenzy	Mlátička
AbTrollRegen	Trolí regenerace
DescTrollRegen	Uzdravuje {1} HP během {2}.
AbMobWhirlWind	Větrník
AbMobBash	Rána
DescMobBash	Útok vedený plochou zbraně namísto její ostrou částí. Útok ochromí nepřítele po dobu {2}.
AbDragonFireFlood	[>AbPredFireFlood]
AbWyvernFireFlood	[>AbPredFireFlood]
AbMobFrostWave	Ledová smršť
DescMobFrostWave	Vyšle vlnu ledu, která snižuje všem zasaženým [>Haste] o {5} po dobu {2}.
AbMobBowSlow	Zmatený stopař
DescMobBowSlow	Zpomalí nepřítele snížením [>Haste] o {5} po dobu {2}.
AbMobSkullCrusher	Louskáček
DescMobSkullCrusher	Zásah přímo do hlavy, který ochromí nepřítele po dobu {2}.
AbMobSoulBan	Klatba
AbMobSoulBanned	Jsi v klatbě
DescMobSoulBanned	Sníží veškeré formy uzdravování o {5}, po dobu {2}.
AbMobScorch	[>AbScorch]
DescMobScorch	[>DescScorch]
AbMobHarpoon	Harpuna
AbMobSlash	Seknutí
AbMobBloodSucking	Upír
AbMobSludgeSpit	Plivanec
DescMobSludgeSpit	Po dobu {2} pohlcuje {5} z udravování.
ChTipMobSludgeSpit	\n\nMůže ještě pohltit {0} z udravování.
AbMobFireMeteor	Meteorický déšt
AbMobArcaneBall	Magická koule
AbMobLightning	Blesk
AbMobFireBreath	Ohnivý dech

//=== Boss Abilities
AbStunOfLight	Ohromení
DescStunOfLight	Záblesk, který ochromí všechny nepřátele v okolí po dobu {2}
AbMobTeleportToBack	Závoj temnoty
AbMobSummon	Vyvolání pomocníků
AbLethalFireball	Smrtonosná ohnivá koule
AbDragonShadow	Vyvolání temnoty
AbDragonAcid	Kyselá smršť
AbBossSwipe	Monumentální otočka
AbBossArrowRain	Déšť šípů
AbBossArrowRainLight	Déšť jasných šípů
AbBossArrowRainShadow	Déšť temných šípů
AbBossSniperArrow	Srdcovka
AbBossShieldBash	Masivní útok štítem
DescBossShieldBash	Vyruší zasaženého nepřítele a navíc ho ochromení na 3s.
AbBossSlowEnrage	Rostoucí vztek
DescBossSlowEnrage	Útočníkův vztek roste po dobu {2}, výsledkem je doplňkové poškození {5} HP.
AbWitchCurse	Uhranutí
DescWitchCurse	Způsobí nepříteli poškození {1} HP během {2}, může být opakováno až {4} krát po sobě. Poškození se zvyšuje exponenciálně.
AbWitchBall	Chrchel
AbWitchHeal	Magické uzdravení
AbTeleportPath	Rychlost světla
AbHunterSniperArrow	[>AbBossSniperArrow]
AbBossDeathRay	Paprsek smrti
AbTeleportWarlock	Temné mrknutí
AbWarlockHeal	Temné uzdravení
AbWarlockCurse	Temná klatba
DescWarlockCurse	Způsobí nepříteli poškození {1} HP během {2}, může být opakováno až {4} krát po sobě.
AbBossShadowCurse	[>AbWarlockCurse]
DescBossShadowCurse	[>DescWarlockCurse]
AbBossNova	Supernova
AbBossNightBall	Temný oblak
AbBossShadowArmor	Temné brnění
DescBossShadowArmor	Snižuje příchozí poškození o {5} po dobu {2}.
AbBossLeechLife	Král upírů // Leech Life
AbTeleportBigBoss	Teleport
AbTeleportBackBigBoss	Návrat // Regenerate
AbBigBossHeal	Regenerace // Guardian Regeneration
AbSlimeBomb	Slizová bomba
DescSlimeBomb	Snižuje [>Haste] o {5} a způsobuje poškození {1} HP leptáním po dobu {2}.
AbEnergyBlast	Vlna energie
AbEnergyShot	Elektrický šíp
AbBossFireArmor	Ohnivé brnění
DescBossFireArmor	Reflects {8}25%</color> of příchozí poškození to the attackers.
AbBurningHand	Ohnivá ruka
DescBurningHand	Způsobuje nepříteli poškození {1} HP popálením po dobu {2}.
AbBigBossRegen	Regenerace

//=== Ab Stun Tip
TipStun		Ochromen[:|a]
TipInterrupted	Přerušeno!\n\ntvoje dovednost {0} byla přerušena útokem nepřítele.

//=== Spec
Specialization	Specializace
SpecProtector	[:Ochránce|Ochránkyně] // Ochránce
SpecManAtArms	[:Muž|Dáma] ve zbrani
SpecPaladin	Paladin
SpecElementalist	Elementalist[:a|ka]
SpecDruid	Druid
SpecPriest	[:Kněz|Kněžka]
SpecNecromancer	Nekromancer
SpecWarlock	Warlok
SpecArcanist	Arkanist[:a|ka]
SpecAssassin	[:Vrah|Vražedkyně]
SpecDuelist	Duelist[:a|ka]
SpecRanger	Stopař[:|ka]

// X? where is DescSpec used ???
DescSpecProtector	[>SpecProtector] je ideálem Tanka: nosí těžké brnění, štít a zvládá velké poškození. Což je vyváženo tím, že nemá žádné uzdravovací dovednosti a tím pádem je plně odkázán[:|a] na lěčitele.
DescSpecManAtArms	[>SpecManAtArms] je voják kovaný v boji, má rád[:|a] obouruční zbraně, se kterým je schop[:en|na] napáchat nepříteli neuvěřitelné poškození.
DescSpecPaladin		[>SpecPaladin] je bojovník boží v těžké zbroji. V boji dává nepříteli nepatrně nižší poškození než jeho druhové, ale to je vyváženo hromadou, v boji užitečných, dovedností.

DescSpecElementalist	[>SpecElementalist] využívá elementy k likvidaci nepřátel, bez velkého ohledu na to, zda jde o jednotlivce či skupinu.
DescSpecWarlock		[>SpecWarlock] spoléhá na dlouhodobé účinky svých kouzel, kterými pomalu, ale jistě vysává život ze svých objetí.
DescSpecArcanist	[>SpecArcanist] je mistr[:|yně] rychlosti a přesnosti. Nepřítele vítá vlnou tajemných kouzel, která kosí řady nepřátel.

DescSpecDruid	[>SpecDruid] je se svými dlouho Způsobícími kouzly typickým léčitelem.
DescSpecPriest	[>SpecPriest] sice má léčitelské schopnosti, ale dává přednost ochraně Tanka.
DescSpecNecromancer	[>SpecNecromancer] je adeptem temných umění kradoucím zdraví nepřátelům.

DescSpecAssassin	[>SpecAssassin] je mistr[:|yně] rychlosti a překvapení. Pokud již ve frontě nemá nic, pak vězte, že jste po smrti.
DescSpecDuelist		[>SpecDuelist] je mistr[:|yně] mrštnosti a provokace.
DescSpecRanger		[>SpecRanger] si užívá stopování a s velkou přesností útočí na vzdálené cíle.

SpecPoint	Počet využitých bodů

CanWield	Povolená výzbroj


//=== Consumable Abilities Desc
AbHealthPotion	Léčivý lektvar
DescHealthPotion	Lektvar, který uzdraví o {0}. Síla dalších lektvarů je po dobu {2} snížena, tento čas se může navýšit až {4}x.
AbManaPotion	Lektvar many
DescManaPotion	Lektvar, který navýší manu o {0}. Síla dalších lektvarů je po dobu {2} snížena, tento čas se může navýšit až {4}x.
AbHastePotion	Lektvar spěchu
DescHastePotion	Lektvar, který navýší bonus pro [>Haste] o {7}{11:F0}</color> po dobu {2}.
AbCritPotion	Kritický lektvar
DescCritPotion	Lektvar, který navýší bonus pro [>Crit] o {7}{11:F0}</color> po dobu {2}.

//=== Talents ====================================================================
NbTalentPoint	Počet volných bodů
RequireInTree	Vyžaduje {0} bod(y/ů) ve stromu {1}
AlreadyHaveSpec	Toto je Ti zapovězeno, protože máš jinou specializaci.
TalentNewAb	Přidává dovednost
TalentReplaceAb	Nahrazuje {0} novou dovedností
TalentRank	Úroveň
TalentNextRank	Na další úrovni
TalentLearn	Levým tlačítkem dovednost získáte
TalentUnlearn	Pravým tlačítkem dovednost zapomenete
RequireTl	Vyžaduje {0} bod(y) u dovednosti {1}
RequireAb	Vyžaduje {0}
TalentPoint	{0} volných bodů

ConfirmChanges	Potvrdit změny
CancelChanges	Zrušit změny

TalentReroll	Nové rozložení dovedností\n\nZapomeneš všechny dovednosti i svou specializaci a dostaneš za ně body zpět.\nTuto možnost získáš za každé 4 úrovně postavy.
TalentNbReroll	Aktuálně můžeš {0}x změnit strom.
TalentNoReroll	Nyní nemáš nárok na změnu stromu.

// Tl + Name = Talent Name
// Tb + Name = effects that come only with Rank 1
// Tr + Name = effects that are increased on each rank

// {TalentX [G|B] [EffectIndex]}
// {<AbilityUsedByTalent[:TalentPart}> [Dmg|DotLength|DotTotalDmg|MaxStack] [%|f] [#<EffectIndex>]}
// {<AbilityUsedByTalentAddingTick> ExtraTime <OtherAbilityWithDot>}
// {Talent <TalentPartName> Condition <O                                                                                                                                                                                                                                                                                                                                                                             therAbilityActive|FamilyActive|HpRatio|ManaRatio|Random>}
// {Talent <TalentPartName> Var [G|B [%]} 

//=== Warrior - Protector
TlProtector	[>SpecProtector]
TrProtector	Zvyšuje zdraví o {HP} a bonus u vlastnosti [>Block] o {Block}.
TlAnticipation	Očekávání
TrAnticipation	Zvyšuje šanci na [>Dodge] o {Dodge}.
TlThunderClap	Hrom za zády // Improved Thunder Clap
TrThunderClap	Zvyšuje [>AbThunderClap] poškození o {WarProtThunderClap}.
TlShieldMaster	Mistr[:|yně] štítu
TrShieldMaster	Zvyšuje šanci na blokování štítem o {WarProtShield}.
TlArmorMaster	Zbrojmistr[:|yně] 
TrArmorMaster	Zvyšuje hodnotu vlastností typu [>ArmorRating] získanou z vybavení o {Armor}.
TlDevastating	Ničitel
TrDevastating	Dovednost [>AbDevastate] způsobí poškození nejen nepříteli, ale i některému z jeho druhů ve výši {TalentX B} původního poškození.
TlEnrage	Zuřivost
TrEnrage	Zvyšuje odchozí poškození o {Enrage} a snižuje příchozí poškození o {Enrage #1} na {Enrage DotLength}. // X? meaning? ~ when casting [>AbRageYell].
TlRetaliate	Ústup
